send_bytes(B),recv_bytes(B)
29276,29661
32549,32542
43607,42531
58026,55538
47927,48888
51428,51892
62371,62045
77031,75344
29268,29658
32618,32599
43624,42701
58031,55539
47925,48883
51431,51894
62373,62043
77034,75340
29273,29654
32548,32542
43620,42704
58024,55537
47927,48887
51425,51887
62367,62042
77031,75346
29273,29654
32554,32554
43610,42535
58033,55549
47923,48888
51428,51892
62374,62043
76965,75178
29272,29655
32616,32598
43610,42536
58027,55543
47923,48890
51431,51899
62384,62212
76963,75176
29274,29653
32549,32544
43605,42533
58026,55541
47924,48890
51425,51891
62387,62214
76967,75177
29269,29654
32551,32537
43608,42532
58030,55538
47926,48786
51376,51893
62369,62046
77033,75343
29274,29659
32548,32434
43606,42536
58026,55540
47923,48885
51427,51791
62372,62049
77031,75345
29208,29528
32548,32541
43629,42658
57963,55370
47930,48897
51432,51904
62383,62215
77028,75345
