send_bytes(B),recv_bytes(B)
14649,14713
16312,16290
21568,20838
28437,26583
21823,22911
23482,24485
28735,29026
35604,34772
14649,14716
16309,16287
21569,20835
28436,26583
21826,22913
23482,24487
28737,29028
35607,34771
14651,14715
16310,16287
21571,20839
28439,26580
21823,22910
23483,24488
28734,29026
35602,34774
14648,14716
16310,16293
21569,20837
28434,26586
21824,22908
23481,24485
28733,29026
35604,34774
14646,14716
16309,16287
21571,20838
28440,26585
21822,22909
23482,24488
28738,29025
35603,34774
14649,14713
16310,16293
21570,20835
28437,26580
21822,22909
23479,24487
28737,29025
35605,34770
14646,14716
16309,16292
21567,20837
28439,26585
21820,22914
23481,24484
28738,29029
35601,34774
14652,14714
16314,16287
21565,20840
28435,26581
21826,22911
23483,24488
28738,29028
35601,34772
14648,14713
16310,16287
21568,20840
28439,26581
21821,22908
23482,24482
28738,29024
35601,34773
